PC,IIN,EIN
-0.0024373952220209574,4.8228558794004185e-06,1.9291423517601674e-05
-0.002437401123263277,4.822839814648455e-06,1.929135925859382e-05
-0.0024374070180478474,4.822823761872306e-06,1.9291295047489223e-05
-0.0024374129062911714,4.822807721355829e-06,1.9291230885423318e-05
-0.0024374187879107473,4.822791693379732e-06,1.9291166773518927e-05
-0.002437424662825064,4.822775678221592e-06,1.929110271288637e-05
-0.0024374305309535905,4.822759676155888e-06,1.929103870462355e-05
-0.0024374363922167693,4.8227436874540175e-06,1.929097474981607e-05
-0.0024374422465360097,4.8227277123843295e-06,1.9290910849537318e-05
-0.002437448093833678,4.822711751212143e-06,1.9290847004848573e-05
-0.0024374539340330905,4.822695804199773e-06,1.929078321679909e-05
-0.0024374597670585078,4.8226798716065535e-06,1.9290719486426214e-05
-0.002437465592835124,4.8226639536888635e-06,1.9290655814755454e-05
-0.0024374714112890637,4.822648050700148e-06,1.9290592202800592e-05
-0.0024374772223473696,4.822632162890942e-06,1.9290528651563768e-05
-0.002437483025937999,4.8226162905088955e-06,1.9290465162035582e-05
-0.0024374888219898137,4.822600433798794e-06,1.9290401735195176e-05
-0.0024374946104325757,4.822584593002582e-06,1.929033837201033e-05
-0.0024375003911969377,4.822568768359386e-06,1.9290275073437545e-05
-0.002437506164214436,4.822552960105537e-06,1.9290211840422147e-05
-0.0024375119294174855,4.822537168474591e-06,1.9290148673898364e-05
-0.00243751768673937,4.822521393697353e-06,1.929008557478941e-05
-0.0024375234361142368,4.822505636001899e-06,1.9290022544007595e-05
-0.0024375291774770894,4.822489895613595e-06,1.928995958245438e-05
-0.0024375349107637807,4.822474172755122e-06,1.928989669102049e-05
-0.002437540635911005,4.8224584676464956e-06,1.9289833870585982e-05
-0.0024375463528562933,4.822442780505087e-06,1.9289771122020348e-05
-0.002437552061538005,4.822427111545645e-06,1.928970844618258e-05
-0.002437557761895322,4.822411460980315e-06,1.928964584392126e-05
-0.0024375634538682397,4.822395829018662e-06,1.9289583316074646e-05
-0.0024375691373975657,4.822380215867691e-06,1.9289520863470764e-05
-0.002437574812424906,4.822364621731865e-06,1.928945848692746e-05
-0.0024375804788926655,4.82234904681313e-06,1.928939618725252e-05
-0.0024375861367440356,4.82233349131093e-06,1.928933396524372e-05
-0.0024375917859229923,4.8223179554222286e-06,1.9289271821688914e-05
-0.002437597426374287,4.822302439341531e-06,1.9289209757366124e-05
-0.002437603058043442,4.8222869432609015e-06,1.9289147773043606e-05
