G/g_definition/g_input,E3b,PV3b,SST3b,VIP3b,E1S1,PV1S1,SST1S1,VIPS1,E2S1,PV2S1,SST2S1,E3S1,PV3S1,SST3S1,E4S1,PV4S1,SST4S1,E1S2,PV1S2,SST1S2,VIPS2,E2S2,PV2S2,SST2S2,E3S2,PV3S2,SST3S2,E4S2,PV4S2,SST4S2,ThalE,ThalI,stability,bifurcation
8.9650547389,2.938811997194,5.921191486781,1.8151344669809997,0.5176262725959999,4.3059789572867,15.099657914108889,7.6127393692227,-2.5536527023650493,2.166500894823101,28.755642592782603,1.8667330473580999,14.698496685533998,13.653998979856999,9.249858933165,1.7289290751379,19.06013576154258,2.1538756075245,6.001738160995601,18.357106659614598,9.363992712702002,-2.912438676656799,2.0950350183609996,22.593816206781,3.3800896875369997,23.961207723207,39.65719735058,12.728061105319998,3.4413976028270987,28.40678261532268,-0.29035710273110027,0.0,0.0,unstable,RG
7.7728792868,2.761266616783,5.2908685632829995,1.721239810212,0.6001637131059998,5.0471053804681,14.71003543942414,7.4687507353421,-1.7466063713174502,3.0463181433502005,28.6853590421166,2.6445416004741995,18.443026669391003,18.78009147951,11.6242018115059,2.9343871681751,20.30967421543664,2.3429193682828,6.469277667146599,17.351765154010504,8.916495391561998,-1.9104056733760995,2.7276000497229997,21.870702048603,3.804988498901001,25.489161267747,40.842757284749,13.848653711885001,4.521352226280999,28.61548631884132,0.4107046796095004,0.0,0.0,unstable,HB
7.7175615541,2.753319785633,5.262453965522,1.717083441996,0.6040600505399998,5.081651189338899,14.68564117365238,7.4591105984049,-1.7093990144631699,3.0885725966143998,28.675187372526498,2.6823222873553996,18.623198255629003,19.039049940380004,11.736503557181798,2.995130513077,20.373509127699126,2.3524862047757997,6.4861940340286,17.28861199249805,8.886949784634002,-1.8645658825783997,2.755953424588001,21.825399697401,3.823386631649,25.563631756567002,40.88970095558899,13.908922853235,4.5741789562828,28.61922523278406,0.44681184000599994,0.0,0.0,unstable,RG
6.8675257075,2.634255228775,4.834442718637,1.655334156185,0.664654697856,5.669485886732901,14.320883146452124,7.319392615285899,-1.1464586286176803,3.736170693609499,28.374282566236996,3.2932352343395,21.85416203978,23.986192266863,13.708615121538099,4.070892962255201,21.734419556300626,2.4855211457552,6.648604400802601,16.056934865700462,8.291564341625,-1.1809278716270997,3.1725360192079997,20.964302475506,4.078952043498001,26.688675583526997,41.301443007616996,14.930105347461003,5.4064433500369,28.515329497568906,1.0664281879927,0.0,0.0,unstable,RG
6.5286895032,2.588333460127,4.668153615744,1.631795825537,0.6891805572859999,6.126613524855001,14.49476195768477,7.434809031038,-0.9311449210585006,3.9461987825132985,28.059815741614997,3.5838845908385,24.33561601165,28.528815862091903,15.085496927662902,4.7923901690461,23.37144634083379,2.4309947315068,6.638244258754599,15.394857453070127,7.9610200508330005,-0.9259345570629998,3.327341118329999,20.526840673104,4.1617886813672,27.077603056551002,41.15277779613999,15.3762877672632,5.738458688005201,28.32320704674121,1.3603597131462,0.0,0.0,unstable,RG
6.5248830665,2.5878223933179996,4.666298979096,1.6315347821619999,0.6894572640519998,6.173159238240001,14.566083679500728,7.4730027321230015,-0.92990131941097,3.9391946012734005,28.034677975166996,3.5942327902353,24.560576062997995,29.014900386730197,15.194353672188802,4.8438355724985005,23.575448695636158,2.4064335994765997,6.637786905452599,15.386744889570792,7.956937900851002,-0.9231531044580998,3.329044663028001,20.521607329560997,4.1626422756795005,27.081537985285987,41.149420302341994,15.3813526661522,5.742131895311703,28.320250748994297,1.3638603396762008,0.0,0.0,unstable,LP
6.7214455977,2.6143528221840002,4.762459749346,1.6451128591850002,0.675202678924,6.447507786590001,15.39856818534224,7.901877028942001,-1.0807426605516006,3.6962489964389986,27.948879030168005,3.5221306681350004,25.688098901716003,32.083505240718,15.602055547213897,4.9633829044746,25.00879107848863,2.0919891353386997,6.6510810193776,15.785619182289553,8.156775552308,-1.069312711575,3.2400627825829993,20.782575484973,4.116273768130001,26.864559118666996,41.27071314277199,15.120906251497,5.550503027510598,28.448254941671674,1.1890273077761,0.0,0.0,stable,RG
7.3822823888,2.7056811884369996,5.091726997049,1.692257060556,0.627799287072,6.5341134113970005,16.756375252316747,8.574970694622,-1.6061343383184001,3.068383448702,27.964198245615002,3.164338260119999,25.873326463530002,34.31331756575399,15.3201239861,4.5620830829682015,26.25154184543774,1.4726133515758004,6.5747319608756,16.86548215475971,8.686115509487,-1.5895191932868007,2.9248294505070005,21.524055514558,3.9308958497669995,26.016226282687004,41.13646425781399,14.290926413925998,4.898710231997499,28.62084010356663,0.6751949175934,0.0,0.0,stable,RG
7.7728789725,2.7612665716249998,5.290868401551,1.721239786564,0.600163735232,6.471722399737001,17.321546819365913,8.845398219927997,-1.9313107372855998,2.7264423920630008,27.960658623621,2.949103811513,25.659259966100002,34.812416441060996,15.041647914739,4.258555667383101,26.58821778523165,1.1618808689672997,6.469277764817601,17.351764799861925,8.916495226137,-1.9104054124807999,2.7276002112449995,21.870701794309994,3.804988603921,25.489161690776996,40.842757555579986,13.848654052004997,4.5213525255286,28.61548634268675,0.4107048836429994,0.0,0.0,unstable,HB
8.6850844919,2.896006489575,5.769975235618,1.7923239589220001,0.536759828396,6.182232556727001,18.249658694487007,9.268043182843,-2.7078603078088,1.9812833383359998,27.889126275451,2.4584606005779994,24.920302083920003,35.169842877099,14.383384786339997,3.5242081041690003,26.956666795026237,0.5248425187778002,6.124876662665599,18.173340149372905,9.286465946929003,-2.676130234069599,2.246044382764999,22.462332492247004,3.4832649373369993,24.303565648227,39.94903921675,12.962585422139,3.6846835596858005,28.470379957903557,-0.1366332394335994,0.0,0.0,unstable,RG
10.019685458,3.1066255204399997,6.509927377842001,1.905504439271,0.4469701378729998,5.587886459511,18.982138263877204,9.559734158072,-3.8401729554507,0.9986103698309982,27.667178195157003,1.7862511544610005,23.715187460430002,34.855505057929,13.564557110488002,2.492479997233998,27.032996009012287,-0.25782917684939943,5.499452395613599,18.8422023895996,9.549770273396001,-3.7960097360717997,1.5250697409660003,22.933474968831003,2.9859974128960003,22.770615014907005,38.57969477399799,11.974450988241001,2.57928050593,28.135087248540163,-0.8269430799180004,0.0,0.0,unstable,EP
