E1,E2,E3,E4
0.00014335634098312057,0.0001799894158933121,0.00025630706785087563,7.270537847127056e-06
0.00014426947057466217,0.00018113615793675345,0.00025793918741835124,7.316085741943958e-06
0.0001451745503528242,0.00018227279699993426,0.0002595569081894471,7.361214612679912e-06
0.0001460716033263606,0.00018339936191227461,0.00026116027140379074,7.405925792474269e-06
0.00014696065390082866,0.00018451588325657989,0.0002627493207988827,7.450220686259751e-06
0.00014784172782581793,0.00018562239330281575,0.0002643241025156945,7.494100767999534e-06
0.0001487148521435639,0.0001867189259436207,0.00026588466500674355,7.537567577996527e-06
0.0001495800551389134,0.00018780551663151538,0.00026743105894658627,7.5806227202731835e-06
0.00015043736629061116,0.00018888220231776955,0.00026896333714467453,7.623267860020265e-06
0.00015128681622387667,0.0001899490213928888,0.00027048155446051986,7.665504721112952e-06
0.00015212843666424116,0.00019100601362868262,0.0002719857677211125,7.7073350836928e-06
0.0001529622603926163,0.00019205322012187797,0.0002734760356405432,7.748760781814014e-06
0.00015378832120156467,0.0001930906832392417,0.0002749524187417752,7.789783701152569e-06
0.00015460665385274541,0.00019411844656417704,0.00027641497928051833,7.83040577677674e-06
0.00015541729403550648,0.00019513655484475981,0.00027786378117115445,7.870628990977637e-06
0.0001562202783265975,0.00019614505394318027,0.00027929888991466706,7.910455371158342e-06
0.00015701564415097641,0.00019714399078655815,0.0002807203725285284,7.949886987780316e-06
0.00015780342974368495,0.0001981334133190988,0.00028212829747849787,7.988925952365749e-06
0.00015858367411276703,0.0001991133704555581,0.0002835227346122865,8.027574415554545e-06
0.00015935641700320617,0.0002000839120359864,0.0002849037550950444,8.065834565214696e-06
0.00016012169886185786,0.00020104508878172078,0.00028627143134662817,8.103708624604782e-06
0.00016087956080335292,0.0002019969522525962,0.00028762583698060506,8.141198850587405e-06
0.00016163004457694956,0.00020293955480534675,0.0002889670467449549,8.178307531892344e-06
0.00016237319253431117,0.00020387294955316924,0.00029029513646442763,8.215036987428301e-06
0.0001631090475981883,0.0002047971903264206,0.00029161018298451847,8.251389564642073e-06
0.00016383765323198276,0.00020571233163442336,0.00029291226411702175,8.287367637924046e-06
0.0001645590534101737,0.00020661842862835158,0.000294201458587126,8.322973607058924e-06
0.0001652732925895842,0.00020751553706517285,0.00029547784598201354,8.358209895720633e-06
0.00016598041568146896,0.00020840371327261953,0.00029674150670092823,8.393078950010342e-06
0.0001666804680244031,0.00020928301411516617,0.00029799252190667734,8.427583237036596e-06
0.00016737349535795313,0.00021015349696098775,0.0002992309734785318,8.461725243536554e-06
0.00016805954379711086,0.00021101521964987584,0.0003004569439664923,8.495507474537362e-06
0.00016873865980747237,0.00021186824046208962,0.00030167051654688765,8.528932452056698e-06
0.0001694108901811439,0.00021271261808811874,0.00030287177497927386,8.56200271384156e-06
0.0001700762820133568,0.0002135484115993364,0.00030406080356460205,8.594720812144388e-06
0.00017073488267977494,0.00021437568041952115,0.00030523768710462486,8.627089312535602e-06
0.00017138673981447725,0.0002151944842972258,0.0003064025108625108,8.659110792751724e-06
0.00017203190128859926,0.00021600488327897348,0.00030755536052463797,8.690787841578175e-06
0.00017267041518961767,0.00021680693768326046,0.0003086963221635375,8.722123057765955e-06
0.00017330232980126178,0.0002176007080753457,0.0003098254822019593,8.753119048981367e-06
0.0001739276935840371,0.00021838625524280838,0.0003109429273780326,8.783778430787979e-06
0.0001745465551563456,0.00021916364017185422,0.0003120487447114941,8.81410382566005e-06
0.00017515896327618816,0.00021993292402435258,0.0003131430214709577,8.844097862026656e-06
0.00017576496682343502,0.00022069416811558578,0.00031422584514220026,8.873763173345755e-06
0.0001763646147826498,0.00022144743389269355,0.0003152973033974382,8.903102397207471e-06
0.0001769579562264537,0.00022219278291379517,0.00031635748406557047,8.93211817446587e-06
0.00017754504029941664,0.00022293027682777257,0.0003174064751033638,8.960813148398529e-06
0.00017812591620246183,0.00022365997735469795,0.00031844436456755716,8.98918996389322e-06
0.00017870063317777118,0.00022438194626688983,0.0003194712405878618,9.017251266661024e-06
0.00017926924049417906,0.0002250962453705817,0.0003204871913408357,9.044999702475234e-06
0.00017983178743304225,0.00022580293648818842,0.0003214923050246091,9.072437916435403e-06
0.0001803883232745739,0.00022650208144115483,0.0003224866698344408,9.099568552255892e-06
0.00018093889728463001,0.00022719374203337183,0.00032347037393908447,9.126394251578341e-06
0.0001814835587019371,0.00022787798003514652,0.0003244435054579432,9.152917653307418e-06
0.00018202235672574944,0.0002285548571677111,0.0003254061524389935,9.179141392969307e-06
0.00018255534050392572,0.00022922443508825819,0.00032635840283745963,9.205068102092324e-06
0.0001830825591214137,0.0002298867753754877,0.00032730034449521755,9.230700407609123e-06
0.00018360406158913288,0.00023054193951565387,0.00032823206512091145,9.256040931279937e-06
0.00018411989683324507,0.00023118998888909818,0.00032915365227076366,9.281092289136312e-06
0.00018463011368480254,0.00023183098475725679,0.00033006519333006104,9.305857090944834e-06
0.00018513476086976448,0.00023246498825012937,0.00033096677549529935,9.3303379396903e-06
0.00018563388699937184,0.00023309206035419846,0.00033185848575696973,9.354537431077874e-06
0.00018612754056087174,0.00023371226190078666,0.0003327404108829698,9.378458153053702e-06
0.00018661576990858198,0.00023432565355484101,0.000333612637402624,9.402102685343543e-06
0.0001870986232552868,0.00023493229580413312,0.00033447525159129623,9.425473599008913e-06
0.000187576148663956,0.00023553224894886437,0.00033532833945558064,9.44857345602032e-06
0.00018804839403977738,0.0002361255730916653,0.00033617198671905446,9.471404808847121e-06
0.00018851540712249646,0.00023671232812797928,0.00033700627880857843,9.493970200063569e-06
0.00018897723547905298,0.00023729257373681983,0.0003378313008411301,9.516272161970632e-06
0.00018943392649650828,0.0002378663693718921,0.0003386471376111569,9.538313216233165e-06
0.0001898855273752549,0.00023843377425306859,0.00033945387357843385,9.56009587353202e-06
0.00019033208512250082,0.00023899484735820993,0.00034025159285641334,9.581622633230706e-06
0.00019077364654602178,0.00023954964741532115,0.0003410403792010534,9.602895983056205e-06
0.00019121025824817337,0.00024009823289503497,0.0003418203160001123,9.623918398793571e-06
0.0001916419666201568,0.00024064066200341262,0.0003425914862628962,9.644692343993931e-06
0.00019206881783653134,0.0002411769926750543,0.0003433539726104475,9.66522026969554e-06
0.00019249085784996627,0.00024170728256651052,0.00034410785726616297,9.685504614157515e-06
0.00019290813238622646,0.000242231589049986,0.00034485322204682906,9.705547802605931e-06
0.00019332068693938458,0.0002427499692073287,0.0003455901483540634,9.725352246991911e-06
0.00019372856676725444,0.0002432624798242954,0.00034631871716615077,9.744920345761404e-06
0.0001941318168870386,0.000243769177385087,0.00034703900903026357,9.764254483636319e-06
0.00019453048207118502,0.00024427011806714546,0.0003477511040550558,9.783357031406693e-06
0.0001949246068434464,0.0002447653577362055,0.00034845508190361975,9.802230345733602e-06
0.00019531423547513685,0.0002452549519415937,0.000349151021786796,9.820876768962504e-06
0.00019569941198158055,0.00024573895591176826,0.0003498390024568261,9.839298628946717e-06
0.00019608018011874637,0.00024621742455009285,0.00035051910220133895,9.857498238880765e-06
0.00019645658338006395,0.00024669041243083735,0.0003511913988376615,9.875477897143284e-06
0.0001968286649934155,0.0002471579737953993,0.00035185596970744345,9.893239887149241e-06
