V_E1,V_P1,V_S1,V_V1
0.0017888227787161814,-7.099576313842198e-05,-1.994893656052395e-05,0.0
0.001788818123164132,-7.099568911357089e-05,-1.9948915300272542e-05,0.0
0.0017888136407843574,-7.099562000088767e-05,-1.9948894802599417e-05,0.0
0.0017888094657697833,-7.099555509428561e-05,-1.9948875682893686e-05,0.0
0.0017888056786334744,-7.09954938422559e-05,-1.9948858311489244e-05,0.0
0.001788802306208633,-7.099543584786766e-05,-1.9948842813664775e-05,0.0
0.0017887993216486005,-7.099538086876797e-05,-1.994882906964374e-05,0.0
0.0017887966444268561,-7.099532881718181e-05,-1.9948816714594394e-05,0.0
0.0017887941403370178,-7.099527975991214e-05,-1.9948805138629774e-05,0.0
0.0017887916214928416,-7.099523391833984e-05,-1.9948793486807702e-05,0.0
0.0017887888463282223,-7.09951916684237e-05,-1.9948780659130787e-05,0.0
0.0017887858465823329,-7.099516349964927e-05,-1.9948766705727833e-05,0.0
0.001788782931680307,-7.099514977037338e-05,-1.9948753027589993e-05,0.0
0.0017887801752210573,-7.099513661705759e-05,-1.994874008233411e-05,0.0
0.0017887776267808062,-7.099511422560416e-05,-1.9948728182327627e-05,0.0
0.0017887753121151307,-7.099507684157909e-05,-1.994871749551435e-05,0.0
0.0017887732331589633,-7.099502277021214e-05,-1.994870804541442e-05,0.0
0.0017887713680265914,-7.099495437639686e-05,-1.9948699711124334e-05,0.0
0.0017887696710116576,-7.09948780846905e-05,-1.9948692227316937e-05,0.0
0.0017887680725871596,-7.099480437931411e-05,-1.9948685184241416e-05,0.0
0.0017887664794054502,-7.099474780415248e-05,-1.9948678027723315e-05,0.0
0.001788764774298237,-7.099472696275419e-05,-1.9948670059164515e-05,0.0
0.0017887630466117358,-7.099474220088569e-05,-1.9948661685838177e-05,0.0
0.0017887614509399738,-7.09947635379115e-05,-1.9948653876331284e-05,0.0
0.0017887599266712783,-7.099477463459515e-05,-1.994864649322348e-05,0.0
0.001788758434273607,-7.099476573209255e-05,-1.9948639439033098e-05,0.0
0.0017887569554907838,-7.099473363902322e-05,-1.9948632657229847e-05,0.0
0.0017887554933425007,-7.099468173147024e-05,-1.9948626132234808e-05,0.0
0.0017887540721243165,-7.099461995298029e-05,-1.9948619889420444e-05,0.0
0.0017887527374076573,-7.099456481456363e-05,-1.9948613995110586e-05,0.0
0.0017887515560398159,-7.099453939469409e-05,-1.994860855658045e-05,0.0
0.0017887505588635123,-7.099454955212449e-05,-1.994860366415243e-05,0.0
0.0017887496449455352,-7.099456318398704e-05,-1.9948599131304182e-05,0.0
0.0017887487476478839,-7.099457100340786e-05,-1.9948594732734915e-05,0.0
0.0017887478255135094,-7.099456765134323e-05,-1.994859032459121e-05,0.0
0.001788746861420464,-7.099455123242003e-05,-1.9948585844579486e-05,0.0
0.0017887458625818994,-7.099452331493578e-05,-1.9948581311966004e-05,0.0
0.0017887448605460692,-7.09944889308587e-05,-1.9948576827576867e-05,0.0
0.0017887439111963265,-7.099445657582758e-05,-1.9948572573798032e-05,0.0
0.0017887430947511258,-7.099443820915187e-05,-1.9948568814575285e-05,0.0
0.0017887424665154808,-7.099444036656783e-05,-1.994856574331287e-05,0.0
0.0017887419246381574,-7.099444682768435e-05,-1.9948563029877454e-05,0.0
0.0017887413996911824,-7.099445171166154e-05,-1.994856041371551e-05,0.0
0.0017887408457750978,-7.099445148912482e-05,-1.9948557719940176e-05,0.0
0.0017887402373432998,-7.09944442718314e-05,-1.9948554850460054e-05,0.0
0.0017887395692020409,-7.099442981267035e-05,-1.994855178397925e-05,0.0
0.0017887388565104273,-7.099440950566251e-05,-1.9948548575997344e-05,0.0
0.0017887381347804214,-7.099438638596057e-05,-1.994854535880941e-05,0.0
0.00178873745987684,-7.0994365129849e-05,-1.994854234150601e-05,0.0
0.001788736908017355,-7.099435205474407e-05,-1.994853980997319e-05,0.0
0.0017887365532069782,-7.099435138775141e-05,-1.994853804915061e-05,0.0
0.0017887363194898167,-7.099435208975013e-05,-1.9948536790723294e-05,0.0
0.0017887361126427723,-7.099435199760612e-05,-1.994853565773352e-05,0.0
0.0017887358666828855,-7.099435066467353e-05,-1.994853438192375e-05,0.0
0.0017887355393577773,-7.099434783279385e-05,-1.994853279120938e-05,0.0
0.0017887351121456477,-7.099434343229591e-05,-1.9948530809678746e-05,0.0
0.0017887345902552767,-7.099433758199588e-05,-1.9948528457593108e-05,0.0
0.001788734002626024,-7.099433058919724e-05,-1.994852585138667e-05,0.0
0.001788733401927829,-7.099432294969087e-05,-1.9948523203666575e-05,0.0
0.0017887328645612105,-7.099431534775491e-05,-1.9948520823212892e-05,0.0
0.0017887324906572678,-7.09943086561549e-05,-1.9948519114978637e-05,0.0
0.0017887323758971178,-7.099430066035002e-05,-1.9948518467442813e-05,0.0
