E1,E2,E3,E4,P1,P2,P3,P4,S1,S2,S3
-6.9534294e-06,-1.2562793e-06,8.428276e-05,-6.4000074e-06,0.0005003261,0.0002825922,-1.4378162e-05,0.0005552311,0.0002715387,0.00013288559,4.4903318e-05
-7.053978e-06,-1.237788e-06,8.623815e-05,-6.467114e-06,0.0005112264,0.00028880857,-1.4272395e-05,0.000567364,0.00027734155,0.0001357216,4.58738e-05
-7.154533e-06,-1.2190253e-06,8.819491e-05,-6.532331e-06,0.00052211713,0.00029501712,-1.4156176e-05,0.0005794887,0.00028313627,0.00013855378,4.6843106e-05
-7.255171e-06,-1.2000662e-06,9.015243e-05,-6.595686e-06,0.0005329955,0.00030121612,-1.4029791e-05,0.0005916022,0.00028892147,0.00014138139,4.781097e-05
-7.3559654e-06,-1.180985e-06,9.211019e-05,-6.6572084e-06,0.0005438588,0.00030740377,-1.38935375e-05,0.0006037017,0.00029469587,0.00014420383,4.877717e-05
-7.4569843e-06,-1.1618565e-06,9.406766e-05,-6.716926e-06,0.0005547044,0.00031357838,-1.3747709e-05,0.0006157843,0.00030045805,0.00014702043,4.9741455e-05
-7.558304e-06,-1.1427505e-06,9.6024305e-05,-6.7748692e-06,0.00056552986,0.00031973835,-1.3592603e-05,0.00062784716,0.00030620687,0.00014983062,5.070362e-05
-7.659991e-06,-1.123738e-06,9.79796e-05,-6.831069e-06,0.0005763328,0.00032588214,-1.3428507e-05,0.0006398878,0.00031194108,0.00015263382,5.1663446e-05
-7.762118e-06,-1.1048933e-06,9.99331e-05,-6.885556e-06,0.00058711093,0.00033200812,-1.3255732e-05,0.00065190374,0.00031765946,0.00015542944,5.262072e-05
-7.864754e-06,-1.0862816e-06,0.00010188428,-6.938362e-06,0.00059786177,0.00033811486,-1.30745575e-05,0.00066389237,0.00032336084,0.00015821695,5.3575237e-05
-7.967968e-06,-1.0679748e-06,0.000103832695,-6.989518e-06,0.00060858345,0.00034420085,-1.2885283e-05,0.0006758514,0.00032904436,0.0001609958,5.452682e-05
-8.071824e-06,-1.0500357e-06,0.0001057779,-7.039057e-06,0.0006192737,0.0003502649,-1.2688196e-05,0.0006877785,0.00033470872,0.00016376555,5.547526e-05
-8.176394e-06,-1.0325323e-06,0.00010771947,-7.0870115e-06,0.0006299305,0.00035630542,-1.24835815e-05,0.0006996715,0.000340353,0.00016652569,5.6420384e-05
-8.281737e-06,-1.0155245e-06,0.00010965693,-7.1334143e-06,0.0006405519,0.0003623213,-1.2271739e-05,0.00071152824,0.0003459762,0.00016927572,5.736203e-05
-8.3879195e-06,-9.990783e-07,0.00011158993,-7.1782974e-06,0.00065113616,0.00036831116,-1.2052947e-05,0.0007233466,0.00035157753,0.00017201522,5.8300022e-05
-8.495006e-06,-9.83255e-07,0.00011351804,-7.2216935e-06,0.0006616813,0.00037427395,-1.1827481e-05,0.0007351248,0.00035715592,0.0001747438,5.9234193e-05
-8.603054e-06,-9.681146e-07,0.00011544089,-7.2636362e-06,0.0006721857,0.00038020834,-1.1595639e-05,0.00074686075,0.00036271062,0.00017746098,6.0164384e-05
-8.712127e-06,-9.537143e-07,0.00011735812,-7.304158e-06,0.0006826476,0.00038611327,-1.1357673e-05,0.00075855263,0.00036824073,0.00018016642,6.1090475e-05
-8.822282e-06,-9.401142e-07,0.00011926934,-7.343291e-06,0.00069306535,0.00039198776,-1.1113878e-05,0.0007701989,0.00037374554,0.00018285969,6.201229e-05
-8.933577e-06,-9.273667e-07,0.0001211742,-7.381069e-06,0.00070343754,0.00039783068,-1.0864504e-05,0.00078179763,0.0003792242,0.00018554048,6.292971e-05
-9.046067e-06,-9.1552465e-07,0.0001230724,-7.4175223e-06,0.00071376265,0.00040364108,-1.0609829e-05,0.0007933473,0.00038467604,0.00018820839,6.38426e-05
-9.159808e-06,-9.04648e-07,0.00012496358,-7.452685e-06,0.0007240391,0.00040941793,-1.0350108e-05,0.0008048463,0.0003901004,0.00019086314,6.475082e-05
-9.274849e-06,-8.9478e-07,0.00012684746,-7.486588e-06,0.00073426584,0.00041516032,-1.0085609e-05,0.00081629306,0.0003954965,0.00019350435,6.565427e-05
-9.391246e-06,-8.8597517e-07,0.00012872368,-7.519263e-06,0.00074444123,0.00042086747,-9.816573e-06,0.0008276864,0.0004008638,0.00019613178,6.655281e-05
-9.509049e-06,-8.7827675e-07,0.00013059202,-7.550742e-06,0.0007545642,0.00042653843,-9.543259e-06,0.0008390247,0.00040620164,0.0001987451,6.7446366e-05
-9.628302e-06,-8.717425e-07,0.00013245219,-7.5810553e-06,0.00076463335,0.0004321725,-9.265907e-06,0.0008503067,0.0004115095,0.00020134407,6.833479e-05
-9.749055e-06,-8.664033e-07,0.00013430385,-7.6102347e-06,0.00077464787,0.0004377688,-8.98476e-06,0.0008615313,0.00041678682,0.00020392837,6.9218004e-05
-9.871355e-06,-8.6231466e-07,0.00013614683,-7.638309e-06,0.0007846064,0.00044332657,-8.7000535e-06,0.00087269704,0.000422033,0.00020649782,7.009591e-05
-9.995245e-06,-8.595107e-07,0.00013798081,-7.6653105e-06,0.00079450797,0.00044884518,-8.412019e-06,0.000883803,0.00042724758,0.00020905207,7.096842e-05
-1.0120768e-05,-8.580382e-07,0.00013980559,-7.6912675e-06,0.0008043516,0.00045432392,-8.120884e-06,0.00089484785,0.00043243016,0.00021159103,7.1835406e-05
-1.0247964e-05,-8.5793545e-07,0.00014162093,-7.716208e-06,0.00081413623,0.0004597621,-7.826869e-06,0.00090583076,0.0004375802,0.00021411439,7.269685e-05
-1.037687e-05,-8.5924285e-07,0.00014342663,-7.740162e-06,0.00082386116,0.00046515925,-7.5302005e-06,0.00091675064,0.0004426973,0.00021662196,7.355262e-05
-1.0507529e-05,-8.6199634e-07,0.00014522244,-7.763157e-06,0.0008335254,0.00047051467,-7.231088e-06,0.00092760666,0.00044778103,0.0002191136,7.440268e-05
-1.0639975e-05,-8.662264e-07,0.00014700816,-7.785222e-06,0.0008431282,0.00047582784,-6.929734e-06,0.0009383977,0.00045283107,0.00022158906,7.5246906e-05
-1.07742435e-05,-8.7196986e-07,0.00014878364,-7.806384e-06,0.00085266866,0.00048109816,-6.6263483e-06,0.0009491232,0.00045784703,0.00022404823,7.6085285e-05
-1.0910372e-05,-8.7926446e-07,0.00015054864,-7.826671e-06,0.0008621462,0.0004863252,-6.321136e-06,0.0009597821,0.00046282855,0.00022649091,7.691772e-05
-1.1048387e-05,-8.881352e-07,0.00015230307,-7.846108e-06,0.00087155995,0.0004915085,-6.0142816e-06,0.0009703738,0.00046777533,0.00022891696,7.774417e-05
-1.11883255e-05,-8.986126e-07,0.00015404668,-7.864721e-06,0.0008809095,0.00049664767,-5.70599e-06,0.0009808973,0.00047268716,0.00023132622,7.856457e-05
-1.1330206e-05,-9.107289e-07,0.0001557793,-7.882536e-06,0.0008901942,0.0005017421,-5.396435e-06,0.0009913524,0.00047756356,0.0002337186,7.937886e-05
-1.1474074e-05,-9.245073e-07,0.00015750082,-7.899577e-06,0.00089941325,0.0005067916,-5.0858034e-06,0.001001738,0.00048240446,0.00023609395,8.0187005e-05
-1.1619935e-05,-9.399705e-07,0.0001592111,-7.915871e-06,0.0009085664,0.00051179575,-4.774273e-06,0.0010120539,0.00048720962,0.00023845215,8.098895e-05
-1.176783e-05,-9.571513e-07,0.00016091,-7.9314395e-06,0.000917653,0.0005167541,-4.462001e-06,0.0010222992,0.00049197866,0.00024079309,8.178466e-05
-1.1917777e-05,-9.760729e-07,0.0001625974,-7.946308e-06,0.0009266725,0.0005216666,-4.149175e-06,0.0010324736,0.0004967115,0.00024311668,8.257408e-05
-1.2069801e-05,-9.96753e-07,0.00016427311,-7.960499e-06,0.00093562464,0.00052653265,-3.8359385e-06,0.0010425767,0.0005014079,0.00024542285,8.3357176e-05
-1.2223916e-05,-1.0192175e-06,0.00016593709,-7.974035e-06,0.0009445089,0.0005313521,-3.5224712e-06,0.0010526078,0.00050606776,0.0002477115,8.413392e-05
-1.2380156e-05,-1.0434792e-06,0.0001675892,-7.986937e-06,0.00095332507,0.00053612475,-3.2089174e-06,0.0010625665,0.0005106908,0.00024998255,8.490427e-05
-1.25385295e-05,-1.0695617e-06,0.00016922932,-7.999227e-06,0.0009620725,0.00054085033,-2.8954237e-06,0.0010724526,0.000515277,0.00025223594,8.566822e-05
-1.2699059e-05,-1.0974859e-06,0.00017085741,-8.010928e-06,0.0009707514,0.0005455286,-2.5821337e-06,0.0010822656,0.00051982614,0.0002544716,8.6425745e-05
-1.2861752e-05,-1.1272646e-06,0.00017247333,-8.022057e-06,0.0009793608,0.0005501593,-2.2691875e-06,0.0010920054,0.0005243382,0.0002566895,8.7176784e-05
-1.3026638e-05,-1.158915e-06,0.00017407702,-8.032637e-06,0.0009879009,0.0005547424,-1.9567387e-06,0.0011016714,0.000528813,0.00025888957,8.792134e-05
-1.3193716e-05,-1.192448e-06,0.00017566839,-8.042687e-06,0.0009963715,0.00055927783,-1.644913e-06,0.0011112635,0.00053325057,0.0002610718,8.86594e-05
-1.3363007e-05,-1.2278815e-06,0.00017724738,-8.052226e-06,0.0010047723,0.00056376524,-1.3338304e-06,0.0011207815,0.0005376506,0.0002632361,8.9390946e-05
-1.3534522e-05,-1.2652208e-06,0.00017881392,-8.061272e-06,0.0010131029,0.00056820456,-1.0236135e-06,0.0011302254,0.0005420134,0.00026538252,9.011595e-05
-1.370827e-05,-1.3044878e-06,0.00018036792,-8.069845e-06,0.0010213635,0.0005725957,-7.144008e-07,0.0011395945,0.0005463385,0.00026751094,9.083443e-05
-1.388426e-05,-1.3456793e-06,0.00018190936,-8.077961e-06,0.0010295542,0.00057693874,-4.0629948e-07,0.0011488891,0.0005506261,0.00026962144,9.154633e-05
-1.4062501e-05,-1.3888166e-06,0.0001834382,-8.085638e-06,0.0010376741,0.0005812334,-9.941505e-08,0.001158109,0.0005548762,0.00027171397,9.225171e-05
-1.4243002e-05,-1.4339012e-06,0.00018495433,-8.092893e-06,0.0010457239,0.00058547966,2.061588e-07,0.0011672537,0.0005590889,0.0002737885,9.2950475e-05
-1.4425768e-05,-1.480942e-06,0.00018645782,-8.0997415e-06,0.001053703,0.0005896775,5.1026655e-07,0.0011763239,0.00056326395,0.0002758451,9.3642695e-05
-1.4610801e-05,-1.5299502e-06,0.00018794855,-8.106202e-06,0.0010616117,0.00059382705,8.128409e-07,0.0011853187,0.0005674014,0.00027788364,9.432835e-05
-1.4798114e-05,-1.5809264e-06,0.00018942649,-8.112287e-06,0.0010694498,0.00059792807,1.1137872e-06,0.0011942389,0.0005715014,0.00027990426,9.500744e-05
-1.4987701e-05,-1.633879e-06,0.00019089166,-8.118013e-06,0.0010772176,0.0006019809,1.4129928e-06,0.0012030838,0.0005755638,0.00028190692,9.567995e-05
-1.517957e-05,-1.6888116e-06,0.00019234401,-8.123394e-06,0.0010849148,0.0006059851,1.710373e-06,0.0012118536,0.0005795889,0.00028389163,9.63459e-05
-1.5373716e-05,-1.745726e-06,0.00019378352,-8.128445e-06,0.0010925415,0.00060994114,2.0058542e-06,0.0012205485,0.0005835764,0.00028585846,9.7005315e-05
-1.5570153e-05,-1.8046203e-06,0.00019521016,-8.13318e-06,0.0011000977,0.0006138488,2.2993463e-06,0.0012291685,0.00058752677,0.0002878074,9.765815e-05
-1.5768863e-05,-1.8655046e-06,0.00019662397,-8.137611e-06,0.001107584,0.0006177081,2.5907466e-06,0.0012377137,0.0005914397,0.00028973853,9.830447e-05
-1.5969861e-05,-1.928378e-06,0.0001980249,-8.141753e-06,0.0011149998,0.0006215194,2.880004e-06,0.001246184,0.00059531553,0.00029165178,9.894423e-05
-1.617314e-05,-1.9932359e-06,0.00019941297,-8.145616e-06,0.0011223456,0.00062528247,3.1670297e-06,0.0012545796,0.00059915415,0.00029354732,9.957749e-05
-1.6378697e-05,-2.0600864e-06,0.00020078814,-8.149214e-06,0.0011296215,0.00062899763,3.4517507e-06,0.001262901,0.0006029559,0.0002954251,0.00010020425
-1.6586526e-05,-2.128916e-06,0.00020215054,-8.15256e-06,0.0011368274,0.000632665,3.7341051e-06,0.0012711477,0.0006067205,0.00029728518,0.00010082452
-1.6796625e-05,-2.199732e-06,0.00020349999,-8.155666e-06,0.0011439638,0.0006362845,4.0140294e-06,0.0012793202,0.0006104485,0.0002991276,0.000101438316
-1.7008988e-05,-2.2725317e-06,0.00020483662,-8.1585395e-06,0.0011510308,0.00063985627,4.2914526e-06,0.0012874188,0.0006141395,0.00030095247,0.00010204564
-1.722361e-05,-2.3473058e-06,0.00020616046,-8.161194e-06,0.0011580283,0.00064338074,4.5663273e-06,0.0012954433,0.000617794,0.0003027598,0.00010264653
-1.744049e-05,-2.4240544e-06,0.00020747153,-8.163639e-06,0.001164957,0.0006468577,4.8385846e-06,0.0013033942,0.000621412,0.0003045497,0.000103241
-1.7659611e-05,-2.502773e-06,0.00020876972,-8.165887e-06,0.0011718165,0.00065028743,5.1081806e-06,0.0013112718,0.00062499376,0.00030632215,0.00010382908
-1.7880971e-05,-2.5834624e-06,0.00021005521,-8.167945e-06,0.0011786073,0.00065367017,5.3750573e-06,0.0013190759,0.00062853924,0.00030807726,0.000104410785
-1.8104565e-05,-2.6661082e-06,0.00021132796,-8.1698245e-06,0.0011853299,0.000657006,5.639158e-06,0.0013268073,0.0006320487,0.00030981508,0.00010498613
-1.8330382e-05,-2.7507122e-06,0.00021258803,-8.171533e-06,0.0011919844,0.0006602951,5.9004506e-06,0.0013344658,0.0006355222,0.00031153567,0.00010555514
-1.8558407e-05,-2.8372624e-06,0.00021383539,-8.1730805e-06,0.0011985708,0.00066353776,6.158876e-06,0.0013420518,0.0006389599,0.00031323914,0.00010611785
-1.8788638e-05,-2.9257526e-06,0.00021507013,-8.174475e-06,0.0012050897,0.000666734,6.4143987e-06,0.0013495656,0.0006423619,0.00031492556,0.00010667428
-1.9021063e-05,-3.01618e-06,0.00021629228,-8.175723e-06,0.0012115409,0.00066988415,6.667002e-06,0.0013570074,0.00064572855,0.000316595,0.00010722446
-1.9255669e-05,-3.10853e-06,0.00021750187,-8.176837e-06,0.0012179255,0.0006729883,6.916609e-06,0.0013643779,0.00064906,0.00031824748,0.00010776841
-1.9492445e-05,-3.2027992e-06,0.00021869891,-8.177822e-06,0.0012242428,0.0006760469,7.1632167e-06,0.0013716769,0.0006523562,0.00031988317,0.00010830616
-1.9731378e-05,-3.2989747e-06,0.00021988353,-8.178685e-06,0.0012304941,0.0006790599,7.4067793e-06,0.0013789048,0.0006556175,0.00032150213,0.00010883774
-1.997246e-05,-3.3970464e-06,0.00022105564,-8.179434e-06,0.0012366791,0.00068202784,7.647266e-06,0.0013860621,0.000658844,0.00032310444,0.000109363194
-2.0215673e-05,-3.4970162e-06,0.00022221541,-8.180076e-06,0.0012427984,0.0006849505,7.884648e-06,0.0013931491,0.00066203595,0.00032469016,0.00010988255
