E1,E2,E3,E4,P1,P2,P3,P4
6.181687503228162e-05,8.62244970978037e-05,0.00011622163269298089,-7.0914701106782176e-06,0.0008695241872861387,0.0005733340513815818,0.0002701051569786409,0.000707335447813935
6.295601075970636e-05,8.774335728515508e-05,0.00011832606535685863,-7.138043677624459e-06,0.0008842420806707182,0.0005832638243852551,0.0002750367979867537,0.0007193335682219735
6.409326835808788e-05,8.925852504033729e-05,0.00012042652308863972,-7.183101275922343e-06,0.0008989133731926334,0.0005931666179084825,0.0002799599540709604,0.0007312934886923499
6.52284111653449e-05,9.07697204213881e-05,0.0001225225905666278,-7.22667566139046e-06,0.0009135356646279246,0.000603040694901106,0.00028487363487543277,0.0007432132159237957
6.636120983800234e-05,9.227667298576467e-05,0.0001246138656680204,-7.268799595655042e-06,0.0009281066447161931,0.0006128843794812997,0.0002897768809835811,0.0007550908308411085
6.74914422320435e-05,9.37791215960613e-05,0.00012669995923235308,-7.3095057986008565e-06,0.0009426240909611509,0.00062269605558135,0.00029466876338452735,0.0007669244868186457
6.861889328295664e-05,9.527681422748017e-05,0.00012878049482513667,-7.348826904163619e-06,0.0009570858664731135,0.0006324741656122531,0.000299548382938567,0.0007787124079356951
6.97433548851529e-05,9.676950777713907e-05,0.000130855108501918,-7.386795419291923e-06,0.0009714899178529371,0.0006422172091472867,0.000304414869842232,0.0007904528872634385
7.08646257709213e-05,9.825696787529521e-05,0.0001329234485729787,-7.423443685914444e-06,0.0009858342731168884,0.0006519237416246714,0.0003092673830935356,0.0008021442851832215
7.198251138907757e-05,9.973896869855548e-05,0.00013498517536887332,-7.458803845755608e-06,0.0010001170396619335,0.0006615923730694228,0.00031410510995793443,0.0008137850277358246
7.309682378345345e-05,0.0001012152927851387,0.00013703996100699505,-7.492907807850066e-06,0.0010143364022709186,0.0006712217668344674,0.00031892726543551975,0.0008253736050014256
7.420738147136447e-05,0.0001026857308522493,0.00013908748915934373,-7.525787218613107e-06,0.001028490621157128,0.0006808106383610713,0.00032373309172990713,0.0008369085695099324
7.531400932218574e-05,0.0001041500816156153,0.00014112745482166067,-7.557473434330703e-06,0.001042578030047679,0.0006903577539586158,0.0003285218577192718,0.0008483885346813612
7.64165384361563e-05,0.00010560815161123954,0.00014315956408408092,-7.587997495939126e-06,0.001056597034305232,0.0006998619296037282,0.0003332928584299398,0.0008598121732959215
7.751480602352615e-05,0.00010705975501940632,0.00014518353390344552,-7.617390105970072e-06,0.001070546109087472,0.0007093220297587625,0.0003380454145129232,0.0008711782159934698
7.860865528415141e-05,0.00010850471349098296,0.00014719909187740335,-7.645681607542972e-06,0.0010844237975438376,0.0007187369662096011,0.00034277887172375526,0.0008824854498019822
7.969793528763685e-05,0.00010994285597604888,0.00014920597602042474,-7.672901965291637e-06,0.0010982287090489438,0.0007281056969227418,0.0003474926004059624,0.0008937327166946972
8.078250085411778e-05,0.00011137401855488279,0.00015120393454183767,-7.699080748117692e-06,0.001111959517472181,0.0007374272249216076,0.00035218599497847784,0.0009049189121755676
8.186221243576738e-05,0.00011279804427133231,0.0001531927256259898,-7.724247113668222e-06,0.001125614959482934,0.0007467005971820148,0.00035685847342728754,0.0009160429838926651
