E1,E2,E3,E4,P1,P2,P3,P4
9.675918282197542e-06,1.447547256202402e-05,1.875544681849047e-05,-2.2815497530349766e-06,0.00015429207178637363,9.86867871938114e-05,4.305491770945172e-05,0.0001249627847484355
1.040216351963777e-05,1.5527483942519548e-05,2.0142599489290926e-05,-2.4116133197931545e-06,0.0001652331887531477,0.00010577781689312,4.625692300723581e-05,0.0001338439621124108
1.1149102369653906e-05,1.6606329630853087e-05,2.156743115061585e-05,-2.5416273545263813e-06,0.00017642774589870152,0.00011304213887710485,4.954755686310846e-05,0.00014293268391932186
1.1916187649843353e-05,1.7711089283166994e-05,2.3028821549819504e-05,-2.671341133882628e-06,0.00018786512668719608,0.00012047323961505756,5.2924302513464464e-05,0.00015222039522309457
1.2702883863945563e-05,1.88408650526397e-05,2.452567554077806e-05,-2.8005127157169547e-06,0.00019953499404903326,0.00012806476952892165,5.6384698263288594e-05,0.0001616987641409789
1.3508667201842e-05,1.99947815894857e-05,2.605692308388959e-05,-2.9289089390915045e-06,0.00021142729038085554,0.0001358105429932927,5.9926337486155526e-05,0.00017135968185354834
1.433302553955616e-05,2.1171986040955566e-05,2.7621519246074044e-05,-3.0563054242755128e-06,0.00022353223754554644,0.00014370453833541824,6.354686862423006e-05,0.00018119526260470061
1.5175343437225517e-05,2.237154999922135e-05,2.9218273963057742e-05,-3.182547252508092e-06,0.00023583987254324363,0.00015174042130954496,6.724356764199998e-05,0.00019119742385448858
1.6034849171736928e-05,2.3592450165277393e-05,3.084578775890366e-05,-3.3076078207662958e-06,0.00024834031245741335,0.00015991155916285284,7.101316103632787e-05,0.0002013580608982471
1.6910883426816302e-05,2.483378510548917e-05,3.2502842702043056e-05,-3.431432312470676e-06,0.00026102461069188546,0.00016821202239002795,7.485281515872735e-05,0.00021166985199568597
1.7802802377150145e-05,2.6094673418639795e-05,3.4188248418906545e-05,-3.553965854580902e-06,0.0002738840096696548,0.0001766360094710307,7.875976105705717e-05,0.00022212563090713284
1.870997625969564e-05,2.7374252421889542e-05,3.590083992649768e-05,-3.6751541566322344e-06,0.0002869099332860065,0.00018517784008355463,8.27312890899029e-05,0.00023271838031072603
1.9631789373680667e-05,2.867167815077573e-05,3.7639477632393025e-05,-3.7949435107355155e-06,0.00030009398690851474,0.00019383195510302618,8.676474892657687e-05,0.00024344123180241407
2.0567640080603776e-05,2.998612535921284e-05,3.9403047334742065e-05,-3.91328079157718e-06,0.00031342795737704447,0.00020259291660260507,9.085754954711825e-05,0.00025428746589595583
2.15169408042342e-05,3.1316787519492404e-05,4.1190460222267255e-05,-4.030113456419248e-06,0.00032690381300374996,0.00021145540785318397,9.500715924229297e-05,0.00026525051202292083
