E1,E2,E3,E4,P1,P2,P3,P4,S1,S2,S3
0.0026861436,0.0026899725,0.002694147,0.0026786497,0.00287043,0.0028014807,0.0027461234,0.0028379213,0.0058204895,0.005795119,0.005779502
0.0027208303,0.0027247868,0.0027291134,0.0027130882,0.0028923766,0.002821397,0.0027644893,0.002858916,0.005934635,0.005908291,0.005892078
0.0027553272,0.0027594133,0.0027638958,0.002747333,0.0029140033,0.0028409685,0.002782495,0.0028795798,0.0060495217,0.0060221795,0.0060053566
0.0027896313,0.0027938492,0.0027984905,0.0027813804,0.0029353155,0.0028602008,0.0028001468,0.0028999178,0.0061651394,0.0061367755,0.006119328
0.0028237395,0.0028280916,0.0028328947,0.0028152282,0.0029563184,0.0028790995,0.0028174508,0.0029199356,0.006281479,0.0062520695,0.006233983
0.002857649,0.0028621375,0.0028671056,0.0028488731,0.0029770173,0.00289767,0.002834413,0.0029396387,0.0063985307,0.0063680517,0.006349312
0.002891357,0.002895984,0.0029011206,0.0028823128,0.0029974172,0.0029159184,0.0028510394,0.0029590325,0.0065162857,0.0064847134,0.0064653056
0.0029248612,0.0029296288,0.002934937,0.0029155444,0.0030175236,0.00293385,0.0028673362,0.0029781226,0.006634735,0.0066020447,0.0065819537
0.002958159,0.0029630696,0.0029685523,0.0029485659,0.0030373412,0.0029514704,0.0028833093,0.002996914,0.00675387,0.0067200367,0.0066992478
0.0029912482,0.0029963038,0.0030019644,0.0029813747,0.0030568754,0.0029687851,0.0028989648,0.0030154123,0.006873681,0.0068386802,0.0068171783
0.0030241266,0.0030293295,0.0030351712,0.0030139692,0.003076131,0.0029857995,0.0029143086,0.0030336224,0.00699416,0.0069579664,0.006935736
0.0030567923,0.0030621444,0.0030681705,0.0030463468,0.0030951132,0.003002519,0.0029293464,0.0030515497,0.007115297,0.007077886,0.0070549124
0.0030892433,0.0030947467,0.0031009605,0.0030785063,0.0031138267,0.0030189492,0.0029440841,0.0030691994,0.007237084,0.00719843,0.007174698
0.0031214778,0.0031271349,0.0031335393,0.0031104456,0.0031322762,0.003035095,0.0029585273,0.0030865765,0.0073595126,0.00731959,0.0072950847
0.0031534943,0.003159307,0.0031659054,0.0031421632,0.0031504668,0.0030509618,0.0029726818,0.0031036858,0.0074825734,0.0074413572,0.0074160625
0.003185291,0.0031912616,0.003198057,0.0031736575,0.003168403,0.0030665547,0.0029865531,0.0031205325,0.0076062586,0.007563723,0.0075376234
0.0032168669,0.0032229973,0.0032299927,0.0032049273,0.0031860895,0.0030818789,0.003000147,0.0031371214,0.007730559,0.007686678,0.0076597584
0.0032482203,0.0032545126,0.0032617112,0.0032359713,0.0032035308,0.0030969393,0.0030134686,0.0031534573,0.007855467,0.0078102145,0.0077824593
0.0032793502,0.0032858064,0.0032932113,0.0032667883,0.0032207316,0.0031117408,0.0030265234,0.003169545,0.0079809725,0.0079343235,0.007905717
0.0033102555,0.0033168776,0.003324492,0.0032973771,0.0032376961,0.0031262885,0.003039317,0.003185389,0.008107069,0.008058997,0.008029523
0.0033409349,0.0033477251,0.0033555517,0.003327737,0.0032544287,0.0031405871,0.0030518544,0.0032009943,0.008233748,0.008184226,0.00815387
0.0033713877,0.003378348,0.0033863902,0.003357867,0.0032709339,0.0031546413,0.003064141,0.0032163651,0.0083610015,0.008310003,0.008278748
0.003401613,0.0034087454,0.003417006,0.0033877664,0.0032872157,0.0031684558,0.0030761815,0.0032315059,0.00848882,0.008436319,0.00840415
0.0034316103,0.0034389165,0.0034473985,0.0034174344,0.0033032782,0.0031820352,0.0030879814,0.0032464212,0.008617196,0.008563167,0.008530066
0.0034613786,0.0034688606,0.0034775673,0.0034468705,0.0033191259,0.003195384,0.0030995454,0.0032611152,0.008746123,0.008690539,0.008656491
0.0034909176,0.0034985773,0.0035075115,0.0034760742,0.0033347623,0.0032085069,0.0031108784,0.003275592,0.008875592,0.008818425,0.008783414
0.0035202266,0.003528066,0.0035372307,0.0035050448,0.0033501915,0.003221408,0.0031219854,0.0032898562,0.009005594,0.008946819,0.008910828
0.0035493053,0.003557326,0.0035667242,0.0035337824,0.0033654175,0.0032340917,0.003132871,0.0033039115,0.009136123,0.009075712,0.009038726
0.0035781532,0.0035863575,0.003595992,0.0035622865,0.0033804437,0.003246562,0.0031435397,0.0033177622,0.00926717,0.009205097,0.009167098
0.0036067704,0.0036151598,0.0036250337,0.0035905568,0.003395274,0.0032588234,0.003153996,0.0033314119,0.009398728,0.009334966,0.009295939
0.0036351564,0.0036437328,0.0036538488,0.0036185933,0.0034099123,0.0032708799,0.0031642448,0.0033448648,0.009530788,0.00946531,0.009425239
0.0036633112,0.0036720762,0.0036824374,0.0036463959,0.0034243618,0.0032827351,0.0031742903,0.0033581245,0.009663345,0.009596122,0.009554991
0.0036912346,0.0037001902,0.0037107992,0.0036739646,0.0034386262,0.0032943934,0.0031841367,0.0033711947,0.00979639,0.009727396,0.009685187
0.0037189268,0.0037280747,0.0037389344,0.0037012994,0.0034527087,0.0033058585,0.0031937882,0.003384079,0.009929915,0.009859123,0.00981582
0.0037463878,0.0037557296,0.003766843,0.0037284007,0.003466613,0.003317134,0.0032032493,0.0033967814,0.010063913,0.009991296,0.009946882
0.0037736176,0.0037831552,0.0037945246,0.0037552684,0.003480342,0.003328224,0.0032125239,0.003409305,0.010198377,0.010123907,0.010078367
0.0038006166,0.0038103515,0.00382198,0.0037819028,0.003493899,0.0033391318,0.003221616,0.0034216533,0.0103333,0.010256949,0.010210266
0.003827385,0.0038373189,0.003849209,0.0038083044,0.0035072872,0.0033498611,0.0032305294,0.0034338296,0.010468673,0.010390415,0.010342573
0.003853923,0.0038640576,0.003876212,0.0038344734,0.0035205097,0.0033604153,0.0032392682,0.0034458374,0.0106044905,0.010524298,0.01047528
0.003880231,0.003890568,0.0039029892,0.0038604103,0.0035335694,0.003370798,0.0032478361,0.0034576799,0.010740745,0.01065859,0.01060838
0.003906309,0.0039168503,0.003929541,0.0038861155,0.0035464694,0.0033810122,0.003256237,0.00346936,0.0108774295,0.0107932845,0.010741865
0.0039321585,0.003942905,0.003955868,0.0039115897,0.0035592124,0.0033910614,0.0032644742,0.003480881,0.011014537,0.010928375,0.010875729
0.003957779,0.0039687324,0.0039819703,0.0039368332,0.0035718014,0.0034009488,0.0032725516,0.0034922457,0.01115206,0.011063853,0.011009965
0.0039831717,0.0039943336,0.0040078484,0.0039618467,0.0035842387,0.0034106777,0.0032804725,0.0035034574,0.011289991,0.011199713,0.011144565
0.0040083365,0.0040197084,0.004033503,0.0039866306,0.0035965273,0.0034202507,0.0032882402,0.0035145187,0.011428325,0.011335947,0.011279524
0.0040332745,0.004044858,0.0040589347,0.004011186,0.0036086699,0.0034296713,0.0032958582,0.0035254327,0.011567054,0.011472548,0.011414834
0.004057986,0.0040697823,0.0040841443,0.0040355134,0.0036206688,0.0034389421,0.0033033297,0.0035362018,0.011706172,0.011609511,0.011550488
0.0040824725,0.004094483,0.004109132,0.0040596137,0.0036325266,0.0034480663,0.003310658,0.0035468289,0.011845671,0.011746828,0.01168648
0.004106734,0.0041189604,0.0041338988,0.0040834877,0.003644246,0.0034570466,0.0033178465,0.0035573167,0.011985545,0.011884493,0.011822802
0.0041307714,0.004143215,0.004158445,0.0041071363,0.003655829,0.0034658858,0.0033248977,0.0035676677,0.012125787,0.012022498,0.011959449
0.004154586,0.0041672476,0.0041827722,0.0041305604,0.003667278,0.0034745864,0.0033318151,0.0035778843,0.012266392,0.012160839,0.012096414
0.0041781776,0.0041910596,0.0042068805,0.004153761,0.0036785954,0.0034831513,0.0033386014,0.003587969,0.012407352,0.012299507,0.01223369
0.004201548,0.0042146514,0.0042307707,0.0041767387,0.0036897834,0.0034915828,0.0033452597,0.0035979247,0.012548661,0.012438497,0.012371272
0.004224698,0.004238024,0.004254444,0.0041994946,0.003700844,0.0034998837,0.0033517925,0.0036077532,0.012690312,0.012577801,0.012509151
0.004247628,0.004261178,0.0042779013,0.00422203,0.0037117794,0.0035080563,0.0033582028,0.0036174569,0.0128323,0.012717415,0.012647323
0.00427034,0.0042841146,0.0043011433,0.0042443452,0.0037225916,0.003516103,0.0033644931,0.003627038,0.012974617,0.012857331,0.012785781
0.0042928336,0.004306835,0.004324171,0.0042664423,0.0037332827,0.0035240261,0.0033706664,0.003636499,0.013117258,0.012997543,0.012924519
0.004315111,0.00432934,0.004346986,0.004288322,0.0037438546,0.0035318283,0.003376725,0.0036458417,0.013260216,0.013138046,0.013063531
0.0043371725,0.004351631,0.004369588,0.004309985,0.0037543094,0.0035395115,0.0033826714,0.0036550683,0.013403486,0.013278832,0.013202811
0.00435902,0.004373708,0.004391979,0.0043314323,0.0037646487,0.0035470778,0.0033885082,0.0036641809,0.013547061,0.013419896,0.013342352
