E1,E2,E3,E4
0.00019955361346304576,0.0002505827088092537,0.00035672205597362967,1.0021832854770135e-05
0.0001998883435663586,0.0002510033627895031,0.000357319864686148,1.0037731921946456e-05
0.00020021920402943944,0.00025141915747656403,0.0003579107562585158,1.0053437043348142e-05
0.00020054622347241902,0.0002518301287859158,0.0003584947818941155,1.0068949722041877e-05
0.00020086942971956137,0.0002522363116347457,0.0003590719913719956,1.0084271418169234e-05
0.0002011888497992639,0.0002526377399419494,0.0003596424330468707,1.0099403548946693e-05
0.00020150450994405712,0.0002530344466281305,0.00036020615384912144,1.0114347488665624e-05
0.000201816435590605,0.00025342646361560094,0.0003607631992847943,1.0129104568692305e-05
0.00020212465137970452,0.0002538138218283806,0.000361313613435602,1.0143676077467904e-05
0.00020242918115628622,0.0002541965511921977,0.00036185743895892296,1.0158063260508492e-05
0.00020273004796941368,0.0002545746806344885,0.0003623947170878019,1.0172267320405036e-05
0.00020302727407228393,0.0002549482380843973,0.00036292548763094934,1.0186289416823403e-05
0.00020332088092222714,0.0002553172504727769,0.00036344978897274197,1.0200130666504359e-05
0.00020361088918070683,0.00025568174373218777,0.0003639676580732223,1.0213792143263568e-05
0.00020389731871331976,0.0002560417427968989,0.000364479130468099,1.0227274877991593e-05
0.00020418020946973546,0.0002563972978009118,0.00036498427762453247,1.0240580965561842e-05
0.00020445971466451495,0.00025674860099262996,0.0003654833736456928,1.0253718500952333e-05
0.00020473589393501227,0.0002570957272108051,0.0003659765252131683,1.0266690612145992e-05
0.0002050087859813982,0.00025743872502451603,0.0003664638015498896,1.0279499316587005e-05
0.00020527842910801874,0.0002577776425062753,0.0003669452711705096,1.0292146610566695e-05
0.00020554486122339538,0.0002581125272320296,0.0003674210018814038,1.030463446922353e-05
0.00020580811984022502,0.00025844342628115937,0.0003678910607806702,1.0316964846543106e-05
0.0002060682420753798,0.00025877038623647923,0.00036835551425812914,1.0329139675358167e-05
0.00020632526464990744,0.00025909345318423743,0.00036881442799532356,1.034116086734859e-05
0.000206579223889031,0.0002594126727141164,0.0003692678669655189,1.0353030313041391e-05
0.00020683015572214885,0.0002597280899192323,0.00036971589543370305,1.0364749881810727e-05
0.0002070780956828349,0.00026003974939613553,0.00037015857695658634,1.037632142187789e-05
0.0002073230789088383,0.00026034769524481015,0.00037059597438260166,1.0387746760311313e-05
0.00020756514014208367,0.00026065197106867424,0.00037102814985190435,1.0399027703026566e-05
0.00020780431372867102,0.00026095261997457976,0.00037145516479637216,1.0410166034786357e-05
0.00020804063361887576,0.00026124968457281284,0.00037187707993960534,1.0421163519200532e-05
0.00020827413336714875,0.0002615432069770932,0.00037229395529692684,1.043202189872608e-05
0.00020850484613211601,0.00026183322880457484,0.00037270585017538184,1.0442742894667123e-05
0.00020873280467657927,0.0002621197911758454,0.00037311282317373804,1.0453328207174921e-05
0.00020895804136751548,0.0002624029347149267,0.00037351493218248575,1.0463779515247877e-05
0.000209180588176077,0.0002626826995492742,0.0003739122343838376,1.0474098476731532e-05
0.00020940047667759154,0.0002629591253097777,0.00037430478625172876,1.048428672831856e-05
0.0002096177380515623,0.00026323225113076057,0.00037469264355181707,1.0494345885548776e-05
0.00020983240308166786,0.00026350211564998035,0.0003750758613414825,1.0504277542809137e-05
0.0002100445021557621,0.00026376875700862836,0.00037545449396982777,1.0514083273333736e-05
0.00021025406526587438,0.00026403221285133,0.00037582859507767803,1.0523764629203799e-05
0.00021046112200820942,0.00026429252032614454,0.00037619821759758086,1.05333231413477e-05
0.0002106657015831474,0.0002645497160845651,0.0003765634137538064,1.0542760319540946e-05
0.00021086783279524373,0.00026480383628151884,0.0003769242350623471,1.0552077652406181e-05
0.00021106754405322945,0.0002650549165753669,0.00037728073233091815,1.0561276607413192e-05
0.00021126486337001075,0.0002653029921279042,0.00037763295565895695,1.05703586308789e-05
0.0002114598183626694,0.0002655480976043598,0.00037798095443762364,1.0579325147967366e-05
0.00021165243625246248,0.0002657902671733965,0.00037832477734980066,1.0588177562689791e-05
0.00021184274386482245,0.0002660295345071111,0.000378664472370093,1.0596917257904512e-05
0.0002120307676293572,0.0002662659327810344,0.0003790000867648281,1.0605545595317005e-05
0.00021221653357985,0.0002664994946741311,0.000379331667092056,1.0614063915479885e-05
0.0002124000673542595,0.0002667302523687998,0.0003796592592015491,1.0622473537792907e-05
0.0002125813941947198,0.00026695823755087315,0.00037998290823480226,1.063077576050296e-05
0.00021276053894754034,0.00026718348140961757,0.0003803026586250329,1.0638971860704074e-05
0.00021293752606320592,0.0002674060146377335,0.00038061855409718095,1.064706309433742e-05
0.00021311237959637685,0.00026762586743135533,0.0003809306376679087,1.06550506961913e-05
0.00021328512320588873,0.00026784306949005144,0.00038123895164560097,1.0662935879901161e-05
0.00021345578015475258,0.00026805765001682393,0.0003815435376303653,1.067071983794959e-05
