E3b,PV3b,SST3b,VIP3b,E1,PV1,SST1,VIP1,E2,PV2,SST2,E3,PV3,SST3,E4,PV4,SST4,E1S2,PV1S2,SST1S2,VIP1S2,E2S2,PV2S2,SST2S2,E3S2,PV3S2,SST3S2,E4S2,PV4S2,SST4S2,ThalE,ThalI,B,Ext
0.0,-0.0,-0.0,-0.0,0.004720533498759305,-0.0002512406947890819,-0.0002754342431761787,-0.0006459367245657568,0.024398263027295284,-0.004376550868486352,-1.69727047146402e-05,0.0007641904466501242,-0.0005409429280397023,-0.0007653535980148883,0.00019975186104218362,-1.7369727047146404e-05,-0.00023542183622828782,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.00029181141439205957,-0.0,1.0,0.0
0.0,-0.0,-0.0,-0.0,0.011276830024813896,-0.0005862282878411911,-0.0010787841191067,-0.0008173076923076924,0.013406203473945407,-0.001015043424317618,-0.00021498759305210916,0.01331389578163772,-0.006694168734491315,-0.0024589019851116627,0.000998759305210918,-0.00015632754342431764,-0.0005220223325062034,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.017241495037220844,-0.0,1.0,0.0
0.0,-0.0,-0.0,-0.0,0.0011145704094292805,-6.978908188585608e-05,-0.0001262406947890819,-0.0002504652605459057,0.002247208436724566,-0.0003954714640198511,-0.00017121588089330023,0.016812189826302733,-0.004158498759305212,-0.003924472704714641,0.00019975186104218362,-0.00011290322580645163,-0.00026612903225806453,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0017162766749379652,-0.0,1.0,0.0
0.0,-0.0,-0.0,-0.0,0.0010490074441687346,-5.5831265508684863e-05,-0.00011476426799007446,-0.0002504652605459057,0.0024398263027295285,-0.0003954714640198511,-0.00018610421836228288,0.008703280086848637,-0.005257289081885856,-9.770471464019852e-05,0.00029962779156327544,-4.3424317617866005e-05,-0.00032754342431761784,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,1.0,0.0
0.0,-0.0,-0.0,-0.0,0.0,-2.7915632754342432e-05,-3.442928039702234e-05,-0.0001054590570719603,0.0022343672456575678,-0.00019773573200992554,-7.444168734491315e-05,0.0033964019851116627,-0.0003211848635235732,-0.00027683002481389583,0.003146091811414392,-0.006878411910669976,-0.0015455955334987591,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.007047245657568238,-0.0,1.0,0.0
0.0,-0.0,-0.0,-0.0,0.0001966888957816377,-1.3957816377171216e-06,-2.295285359801489e-06,-2.6364764267990074e-05,0.0003210297766749379,-2.6364764267990074e-05,-3.722084367245658e-06,0.00271712158808933,-0.0,-4.885235732009926e-05,0.07910173697270471,-0.0021364764267990076,-0.0024668114143920595,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0003064019851116626,-0.0,1.0,0.0
0.0,-0.0,-0.0,-0.0,0.00013112593052109182,-0.0,-2.295285359801489e-06,-1.3182382133995037e-05,0.0003210297766749379,-2.6364764267990074e-05,-2.977667493796526e-06,0.0006368253722084367,-0.0,-3.2568238213399504e-05,0.010237282878411911,-0.005401985111662531,-6.141439205955335e-05,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,1.0,0.0
0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.013471166422258332,-0.0038666719511711786,-0.003284848004438984,-0.000579445919701954,0.010829535095715588,-0.0002695097300939321,-0.00034243589235464307,0.001301969799056716,-1.7280329753081527e-05,-0.0002496928381752606,0.0,-0.0,-0.0,0.0012747538461538464,-0.0,1.0,0.0
0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.05730272284094963,-0.004537275573699021,-0.0013843288018707146,-0.0007411517577583132,0.0009451230628988148,-0.0002290832705798423,-0.0002435099678966351,5.4248741627363165e-05,-1.7280329753081527e-05,-0.00023304664896357655,1.0209662716499545e-05,-8.877967579564821e-07,-6.277991359835124e-05,6.784615384615386e-05,-0.0,1.0,0.0
0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.032572074035908206,-0.004152035194800048,-0.0,-0.00365185684277278,0.0003938012762078396,-0.00016170583805635925,-0.00033482620585787326,3.25492449764179e-05,-1.7280329753081527e-05,-0.0003495699734453649,0.0,-0.0,-0.0,0.0,-0.0,1.0,0.0
0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.010723316555031509,-0.002939241409377353,-0.0054317308073401765,-0.000848955649795886,0.00011814038286235185,-0.00013475486504696606,-0.0001293646704450874,1.0849748325472634e-05,-1.7280329753081527e-05,-9.987713527010425e-05,0.0,-1.7755935159129642e-06,-5.23165946652927e-05,0.0,-0.0,1.0,0.0
0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0017425389401926202,-0.0004993856763505212,-0.0006921644009353573,-0.0009432840553287624,0.030994129443938017,-0.00503983195275653,-0.0015067179263604296,0.000650984899528358,-0.00048384923308628276,-0.0008656018390075701,0.0,-1.775593515912964e-05,-0.000251119654393405,0.008053995037220844,-0.0,1.0,0.0
0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.004825492449764179,-0.0002282905949030954,-0.0002698268003646308,-0.0007142007847489199,0.11046125797629898,-0.0038809401133526223,-0.002762316198327454,0.0009764773492925371,-0.00048384923308628276,-0.00078237089294915,0.00010209662716499544,-2.663390273869446e-05,-0.00018833974079505373,0.00041339950372208445,-0.0,1.0,0.0
0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.004825492449764179,-0.00025682691926598233,-0.0002815584003804843,-0.0006602988387301337,0.01870556061987238,-0.004473861519559273,-1.735008521263525e-05,0.0009764773492925371,-0.0005529705520986089,-0.00078237089294915,0.00020419325432999088,-1.775593515912964e-05,-0.0002406563354603464,5.836228287841192e-05,-0.0,1.0,0.0
0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.01152756529665887,-0.0005992628116206255,-0.0011027704014902303,-0.0008354801632911896,0.010278213309024611,-0.0010376124608616386,-0.00021976774602671317,0.01701240537434109,-0.006843010582220285,-0.00251357457096429,0.0010209662716499544,-0.00015980341643216677,-0.0005336292655859855,0.0034482990074441687,-0.0,1.0,0.0
0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0011393523839720978,-7.134081090721732e-05,-0.00012904760017438865,-0.00025603424358923546,0.0017228805834092983,-0.0004042645951408981,-0.00017502278942570646,0.021482501684435815,-0.004250961119258057,-0.004011731600015854,0.00020419325432999088,-0.00011541357853434268,-0.00027204629225952205,0.00034325533498759305,-0.0,1.0,0.0
0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0010723316555031508,-5.707264872577385e-05,-0.00011731600015853513,-0.00025603424358923546,0.0018705560619872378,-0.0004042645951408981,-0.00019024216241924618,0.01112099203360945,-0.005374182553208355,-9.987713527010425e-05,0.00030628988149498633,-4.43898378978241e-05,-0.00033482620585787326,0.0,-0.0,1.0,0.0
