background_input/bI_definition/backgrndI_strengths,E3b,PV3b,SST3b,VIP3b,thalE,thalI,stability,bifurcation
-0.0362088309,1.3361778804150017,26.172404971714997,-2.162157952315001,-6.620120858065,0.0,0.0,True,RG
-0.036980303318,1.3361443535879993,26.172214481888,-2.162196225322,-6.620220389692,0.0,0.0,True,RG
-0.037751774427,1.3361108270529987,26.172023986953004,-2.162234497497,-6.620319921227,0.0,0.0,True,RG
-0.03852324423,1.3360772981110003,26.171833487910995,-2.162272771059001,-6.620419452969001,0.0,0.0,True,RG
-0.039294712724,1.3360437676599994,26.17164298476,-2.1623110449099996,-6.62051898462,0.0,0.0,True,RG
-0.040066179911,1.3360102366020001,26.171452477401996,-2.162349319828,-6.620618516578,0.0,0.0,True,RG
-0.040837645789,1.3359767040369992,26.171261965936996,-2.162387595232999,-6.620718048243,0.0,0.0,True,RG
-0.04160911036,1.3359431707629996,26.171071450263,-2.1624258718169993,-6.620817580117,0.0,0.0,True,RG
-0.042380573623,1.3359096361830018,26.170880929583,-2.162464148576999,-6.620917111897,0.0,0.0,True,RG
-0.043152035577,1.3358760998939987,26.170690404594,-2.1625024256159997,-6.6210166437860005,0.0,0.0,True,RG
-0.043923496223,1.3358425631979989,26.170499876597997,-2.162540703941999,-6.621116175781999,0.0,0.0,True,RG
-0.044694955561,1.3358090238950007,26.170309343395,-2.162578982635,-6.621215707685001,0.0,0.0,True,RG
-0.04546641359,1.3357754849840002,26.170118805183993,-2.1626172624159996,-6.621315239796,0.0,0.0,True,RG
-0.046237870311,1.3357419446660002,26.169928263566,-2.162655542584001,-6.621414771914,0.0,0.0,True,RG
-0.047009325723,1.3357084028400017,26.16973771804,-2.1626938229200006,-6.62151430394,0.0,0.0,True,RG
-0.047780779826,1.3356748593070011,26.169547167207,-2.1627321046429997,-6.621613835973,0.0,0.0,True,RG
-0.04855223262,1.3356413143670005,26.169356613367,-2.1627703875429996,-6.621713368313,0.0,0.0,True,RG
-0.049323684106,1.3356077688189991,26.169166054419,-2.1628086697210014,-6.621812900561,0.0,0.0,True,RG
-0.050095134283,1.3355742218640003,26.168975491264,-2.1628469531859995,-6.621912432716001,0.0,0.0,True,RG
-0.05086658315,1.3355406742019993,26.168784923902,-2.1628852378179992,-6.622011964978,0.0,0.0,True,RG
-0.051638030708,1.3355071250330017,26.168594351432997,-2.162923522737,-6.622111497346999,0.0,0.0,True,RG
-0.052409476957,1.3354735743560002,26.168403775855996,-2.1629618079340016,-6.622211029724,0.0,0.0,True,RG
-0.053180921897,1.3354400231719987,26.168213195172,-2.163000094518,-6.622310562208,0.0,0.0,True,RG
-0.053952365527,1.3354064694810008,26.168022611280996,-2.163038381269,-6.622410094598999,0.0,0.0,True,RG
-0.054723807848,1.3353729151829987,26.167832022282997,-2.163076668107001,-6.622509627096999,0.0,0.0,True,RG
-0.055495248859,1.3353393602780006,26.167641429177998,-2.1631149565220014,-6.622609159602,0.0,0.0,True,RG
-0.05626668856,1.3353058029649985,26.167450831865004,-2.163153246015,-6.622708692215,0.0,0.0,True,RG
-0.057038126952,1.3352722461459998,26.167260229345995,-2.1631915346940005,-6.622808224734,0.0,0.0,True,RG
-0.057809564033,1.335238686619001,26.167069623819003,-2.163229825751001,-6.622907757361,0.0,0.0,True,RG
-0.058580999805,1.3352051266859986,26.166879013185994,-2.163268116084,-6.623007290094,0.0,0.0,True,RG
-0.059352434266,1.3351715640449995,26.166688398344995,-2.163306407694999,-6.623106822734999,0.0,0.0,True,RG
-0.060123867418,1.335138002098,26.166497780298002,-2.1633447004820003,-6.623206355382,0.0,0.0,True,RG
-0.060895299259,1.3351044375430008,26.166307156242997,-2.1633829924569996,-6.623305888237,0.0,0.0,True,RG
-0.06166672979,1.3350708733819996,26.166116528882,-2.1634212869079987,-6.623405421198,0.0,0.0,True,RG
-0.06243815901,1.3350373067140002,26.165925897614002,-2.1634595805359997,-6.623504954065999,0.0,0.0,True,RG
-0.06320958692,1.3350037385390003,26.165735260938998,-2.1634978753409992,-6.623604486940999,0.0,0.0,True,RG
-0.063981013519,1.3349701697570002,26.165544621257,-2.163536171432999,-6.623704019823001,0.0,0.0,True,RG
-0.064752438807,1.3349366004689982,26.165353976468996,-2.1635744678010003,-6.623803552811,0.0,0.0,True,RG
-0.065523862785,1.3349030296729985,26.165163327472996,-2.163612764447,-6.623903085807,0.0,0.0,True,RG
-0.066295285452,1.3348694562710015,26.164972674371,-2.163651062369,-6.624002618809,0.0,0.0,True,RG
-0.067066706808,1.3348358834630012,26.164782017063,-2.163689360567,-6.624102152017,0.0,0.0,True,RG
-0.067838126852,1.3348023080469988,26.164591354746996,-2.1637276589529995,-6.6242016851329995,0.0,0.0,True,RG
-0.068609545586,1.3347687320250012,26.164400689224998,-2.163765958615,-6.624301218355,0.0,0.0,True,RG
-0.069380963008,1.3347351544959987,26.164210018596,-2.163804259654,-6.624400751484001,0.0,0.0,True,RG
-0.070152379119,1.3347015764610013,26.164019343861,-2.1638425597690003,-6.624500284619001,0.0,0.0,True,RG
-0.070923793919,1.3346679960190004,26.163828664919,-2.163880861271,-6.624599818061,0.0,0.0,True,RG
-0.071695207407,1.334634415771001,26.163637981871002,-2.163919163948999,-6.624699351209001,0.0,0.0,True,RG
-0.072466619584,1.3346008331159995,26.163447293616002,-2.1639574670040016,-6.624798884764001,0.0,0.0,True,RG
-0.073238030449,1.3345672499539998,26.163256602154,-2.1639957701359998,-6.624898417926,0.0,0.0,True,RG
-0.074009440002,1.3345336652859998,26.163065905686,-2.164034074753999,-6.6249979514940005,0.0,0.0,True,RG
-0.074780848243,1.334500080012001,26.162875205012,-2.1640723794380015,-6.625097484968001,0.0,0.0,True,RG
-0.075552255172,1.3344664922310008,26.162684501231,-2.164110685509,-6.625197018548999,0.0,0.0,True,RG
-0.076323660789,1.334432904843999,26.162493791444003,-2.1641489917559995,-6.6252965520360005,0.0,0.0,True,RG
