,E3b,PV3b,SST3b,VIP3b,thalE,thalI
1604,19.429863450632006,32.52732170570249,2.071430505540797,-1.6401026201568132,149.99999999999997,0.0
1605,19.42986345063209,32.52732170570288,2.0714305055405196,-1.640102620156437,149.99999999999997,0.0
1606,19.429863450632173,32.52732170570326,2.0714305055402518,-1.6401026201560747,149.99999999999997,0.0
1607,19.429863450632254,32.52732170570362,2.071430505539994,-1.6401026201557252,149.99999999999997,0.0
1608,19.429863450632332,32.52732170570397,2.071430505539746,-1.6401026201553894,149.99999999999997,0.0
1609,19.42986345063241,32.5273217057043,2.0714305055395075,-1.6401026201550652,149.99999999999997,0.0
1610,19.42986345063248,32.52732170570463,2.071430505539277,-1.6401026201547526,149.99999999999997,0.0
1611,19.429863450632553,32.52732170570494,2.0714305055390554,-1.6401026201544515,149.99999999999997,0.0
1612,19.42986345063262,32.52732170570524,2.071430505538842,-1.640102620154161,149.99999999999997,0.0
1613,19.429863450632684,32.52732170570553,2.0714305055386353,-1.6401026201538822,149.99999999999997,0.0
1614,19.429863450632745,32.52732170570581,2.0714305055384363,-1.640102620153613,149.99999999999997,0.0
1615,19.429863450632805,32.52732170570608,2.071430505538245,-1.6401026201533542,149.99999999999997,0.0
1616,19.429863450632862,32.52732170570634,2.0714305055380606,-1.6401026201531042,149.99999999999997,0.0
1617,19.429863450632915,32.52732170570659,2.071430505537882,-1.6401026201528635,149.99999999999997,0.0
1618,19.42986345063297,32.527321705706825,2.0714305055377102,-1.6401026201526316,149.99999999999997,0.0
1619,19.42986345063302,32.52732170570706,2.0714305055375446,-1.6401026201524087,149.99999999999997,0.0
1620,19.42986345063307,32.52732170570728,2.071430505537385,-1.6401026201521938,149.99999999999997,0.0
1621,19.429863450633118,32.5273217057075,2.071430505537232,-1.640102620151986,149.99999999999997,0.0
1622,19.429863450633164,32.527321705707706,2.071430505537084,-1.640102620151786,149.99999999999997,0.0
1623,19.42986345063321,32.527321705707905,2.0714305055369415,-1.6401026201515934,149.99999999999997,0.0
1624,19.429863450633253,32.5273217057081,2.0714305055368056,-1.6401026201514086,149.99999999999997,0.0
1625,19.429863450633295,32.52732170570828,2.0714305055366733,-1.64010262015123,149.99999999999997,0.0
1626,19.429863450633334,32.52732170570846,2.0714305055365454,-1.6401026201510578,149.99999999999997,0.0
1627,19.429863450633373,32.52732170570864,2.0714305055364237,-1.6401026201508921,149.99999999999997,0.0
1628,19.429863450633412,32.5273217057088,2.0714305055363047,-1.6401026201507327,149.99999999999997,0.0
1629,19.429863450633444,32.527321705708964,2.071430505536191,-1.6401026201505786,149.99999999999997,0.0
1630,19.42986345063348,32.52732170570911,2.0714305055360818,-1.6401026201504303,149.99999999999997,0.0
1631,19.429863450633512,32.52732170570926,2.0714305055359765,-1.6401026201502873,149.99999999999997,0.0
1632,19.429863450633544,32.527321705709404,2.0714305055358744,-1.64010262015015,149.99999999999997,0.0
1633,19.429863450633572,32.52732170570954,2.0714305055357762,-1.6401026201500177,149.99999999999997,0.0
1634,19.4298634506336,32.527321705709674,2.071430505535681,-1.6401026201498898,149.99999999999997,0.0
1635,19.42986345063363,32.5273217057098,2.07143050553559,-1.6401026201497668,149.99999999999997,0.0
1636,19.429863450633658,32.52732170570993,2.0714305055355027,-1.6401026201496482,149.99999999999997,0.0
1637,19.429863450633682,32.52732170571005,2.0714305055354174,-1.6401026201495341,149.99999999999997,0.0
1638,19.42986345063371,32.527321705710165,2.0714305055353357,-1.6401026201494249,149.99999999999997,0.0
1639,19.429863450633732,32.52732170571027,2.071430505535256,-1.6401026201493192,149.99999999999997,0.0
1640,19.429863450633757,32.52732170571038,2.0714305055351803,-1.6401026201492175,149.99999999999997,0.0
1641,19.42986345063378,32.52732170571048,2.0714305055351074,-1.6401026201491193,149.99999999999997,0.0
1642,19.4298634506338,32.52732170571058,2.0714305055350364,-1.6401026201490247,149.99999999999997,0.0
1643,19.42986345063382,32.52732170571067,2.071430505534968,-1.6401026201489333,149.99999999999997,0.0
1644,19.429863450633842,32.52732170571076,2.0714305055349027,-1.6401026201488453,149.99999999999997,0.0
1645,19.42986345063386,32.527321705710854,2.07143050553484,-1.64010262014876,149.99999999999997,0.0
1646,19.429863450633878,32.52732170571093,2.0714305055347797,-1.6401026201486784,149.99999999999997,0.0
1647,19.429863450633896,32.52732170571102,2.071430505534721,-1.6401026201485993,149.99999999999997,0.0
1648,19.429863450633913,32.527321705711095,2.071430505534665,-1.6401026201485238,149.99999999999997,0.0
